age  team  league  position  game_played  game_started  min_pg  fg_pg  fga_pg  fg_pct  fg3_pg  fg3a_pg  fg3_pct  fg2_pg  fg2a_pg  fg2_pct  efg_pct  ft_pg  fta_pg  ft_pct  orb_pg  drb_pg  trb_pg  ast_pg  stl_pg  blk_pg  tov_pg  pf_pg  pts_pg  draft_order  shoot_hand  player_height  player_weight  C  SG  SF  PG  PF  Right  Left  6-11  7-1  6-8  7-3  6-0  5-10  6-5  6-6  5-11  6-1  6-4  5-9  6-7  6-3  6-10  7-2  6-9  7-0  6-2  
27  ORL  NBA  SF  64  64  36.0  6.2  14.1  .439  1.1  3.8  .300  5.1  10.4  .489  .478  3.0  3.5  .857  0.5  3.3  3.7  3.2  0.6  0.2  2.2  2.1  16.5  27  Right  6-5  210  0  0  1  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  
29  DEN  NBA  SG  53  53  33.0  5.3  12.4  .428  1.5  4.6  .337  3.8  7.8  .481  .490  2.4  2.8  .841  0.4  3.0  3.4  1.9  0.6  0.1  1.6  2.0  14.5  27  Right  6-5  210  0  1  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  
29  POR  NBA  SG  25  19  30.1  3.8  9.1  .414  1.4  3.6  .400  2.3  5.5  .423  .493  1.6  1.9  .851  0.2  2.4  2.7  1.1  0.4  0.1  1.3  2.4  10.6  27  Right  6-5  210  0  1  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  
30  NYK  NBA  SG  71  57  33.4  5.0  11.3  .443  1.3  3.4  .382  3.7  7.9  .469  .500  1.5  1.8  .840  0.3  3.4  3.7  2.0  0.4  0.1  1.2  2.0  12.8  27  Right  6-5  210  0  1  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  
31  SAC  NBA  SG  61  45  25.9  3.0  6.9  .440  1.0  2.5  .411  2.0  4.4  .457  .514  1.4  1.5  .892  0.1  1.9  2.0  1.3  0.3  0.1  0.7  1.7  8.4  27  Right  6-5  210  0  1  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  
32  ORL  NBA  SG  20  0  12.5  0.8  2.4  .333  0.3  1.2  .261  0.5  1.3  .400  .396  0.4  0.6  .667  0.1  1.5  1.6  0.6  0.1  0.2  0.4  1.1  2.3  27  Right  6-5  210  0  1  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  
26  NYK  NBA  C  61  16  16.0  2.4  4.9  .478  0.0  0.0  0.0  2.4  4.9  .478  .478  0.8  1.0  .781  1.7  3.9  5.5  1.2  0.6  1.1  1.0  2.0  5.5  11  Right  6-11  250  1  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
28  MIN  NBA  C  62  0  8.6  0.7  1.4  .523  0.0  0.0  0.0  0.7  1.4  .523  .523  0.2  0.4  .682  0.8  1.7  2.5  0.4  0.4  0.4  0.3  1.4  1.7  11  Right  6-11  250  1  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
21  POR  NBA  C  63  22  22.1  3.8  7.6  .503  0.0  0.0  .000  3.8  7.6  .505  .503  1.3  1.8  .722  2.3  2.7  5.0  0.4  0.3  1.2  0.7  3.0  9.0  2  Right  6-11  260  1  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
22  POR  NBA  PF  76  76  34.9  7.4  15.3  .484  0.0  0.1  .143  7.4  15.2  .486  .484  3.0  3.9  .762  2.9  4.7  7.6  1.6  0.7  1.2  1.7  3.2  17.8  2  Right  6-11  260  0  0  0  0  1  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
